customer_id,total_revenue,total_orders,first_purchase,last_purchase,customer_lifetime_days,avg_order_value,CLV,signup_date,signup_month,clv_percentile,clv_segment
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2021-12-22,2021-12,0.9997179921037789,VIP
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2023-02-25,2023-02,0.9997179921037789,VIP
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2021-06-29,2021-06,0.9997179921037789,VIP
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2021-03-18,2021-03,0.9997179921037789,VIP
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2023-01-03,2023-01,0.9997179921037789,VIP
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2022-10-07,2022-10,0.9997179921037789,VIP
10857,2039.19,7,2021-09-26,2023-12-23,818.0,291.3128571428571,2039.19,2022-09-17,2022-09,0.9997179921037789,VIP
10330,1439.46,2,2021-02-23,2023-11-25,1005.0,719.73,1439.46,2021-01-15,2021-01,0.9992009776273736,VIP
10330,1439.46,2,2021-02-23,2023-11-25,1005.0,719.73,1439.46,2023-06-08,2023-06,0.9992009776273736,VIP
10330,1439.46,2,2021-02-23,2023-11-25,1005.0,719.73,1439.46,2023-05-23,2023-05,0.9992009776273736,VIP
10330,1439.46,2,2021-02-23,2023-11-25,1005.0,719.73,1439.46,2022-12-18,2022-12,0.9992009776273736,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2021-11-07,2021-11,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2022-01-17,2022-01,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2021-12-24,2021-12,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2022-12-30,2022-12,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2021-12-13,2021-12,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2021-03-24,2021-03,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2021-08-08,2021-08,0.9986369618349313,VIP
10959,1281.78,4,2022-03-29,2023-03-20,356.0,320.445,1281.78,2022-10-19,2022-10,0.9986369618349313,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-09-26,2021-09,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-04-18,2021-04,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-09-28,2021-09,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2022-04-29,2022-04,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-01-24,2021-01,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-10-27,2021-10,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-10-18,2021-10,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2023-05-03,2023-05,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-03-29,2021-03,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2023-04-26,2023-04,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2023-03-19,2023-03,0.9976969355141944,VIP
11141,1259.88,8,2021-04-18,2024-03-21,1068.0,157.485,1259.88,2021-04-22,2021-04,0.9976969355141944,VIP
10219,1258.63,1,2021-05-16,2021-05-16,0.0,1258.63,1258.63,2021-03-21,2021-03,0.9969919157736417,VIP
10219,1258.63,1,2021-05-16,2021-05-16,0.0,1258.63,1258.63,2021-03-20,2021-03,0.9969919157736417,VIP
10219,1258.63,1,2021-05-16,2021-05-16,0.0,1258.63,1258.63,2023-04-10,2023-04,0.9969919157736417,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2023-05-08,2023-05,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2021-10-26,2021-10,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2023-03-24,2023-03,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2022-07-15,2022-07,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2021-11-04,2021-11,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2021-01-16,2021-01,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2022-11-06,2022-11,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2022-06-06,2022-06,0.9964278999811995,VIP
11892,1253.6999999999998,5,2022-04-10,2023-06-24,440.0,250.73999999999995,1253.6999999999998,2022-02-12,2022-02,0.9964278999811995,VIP
10086,1249.3600000000001,4,2021-08-08,2022-01-28,173.0,312.34000000000003,1249.3600000000001,2021-06-02,2021-06,0.9957698815566836,VIP
10086,1249.3600000000001,4,2021-08-08,2022-01-28,173.0,312.34000000000003,1249.3600000000001,2021-09-06,2021-09,0.9957698815566836,VIP
10086,1249.3600000000001,4,2021-08-08,2022-01-28,173.0,312.34000000000003,1249.3600000000001,2021-07-18,2021-07,0.9957698815566836,VIP
10086,1249.3600000000001,4,2021-08-08,2022-01-28,173.0,312.34000000000003,1249.3600000000001,2021-08-11,2021-08,0.9957698815566836,VIP
10086,1249.3600000000001,4,2021-08-08,2022-01-28,173.0,312.34000000000003,1249.3600000000001,2021-02-03,2021-02,0.9957698815566836,VIP
11594,1244.54,5,2022-06-27,2023-02-03,221.0,248.908,1244.54,2022-03-04,2022-03,0.9952528670802783,VIP
11594,1244.54,5,2022-06-27,2023-02-03,221.0,248.908,1244.54,2022-11-21,2022-11,0.9952528670802783,VIP
11594,1244.54,5,2022-06-27,2023-02-03,221.0,248.908,1244.54,2022-01-22,2022-01,0.9952528670802783,VIP
11594,1244.54,5,2022-06-27,2023-02-03,221.0,248.908,1244.54,2022-06-19,2022-06,0.9952528670802783,VIP
11594,1244.54,5,2022-06-27,2023-02-03,221.0,248.908,1244.54,2022-06-07,2022-06,0.9952528670802783,VIP
11594,1244.54,5,2022-06-27,2023-02-03,221.0,248.908,1244.54,2021-08-13,2021-08,0.9952528670802783,VIP
12438,1208.62,4,2021-06-08,2023-09-11,825.0,302.155,1208.62,2023-05-13,2023-05,0.994688851287836,VIP
12438,1208.62,4,2021-06-08,2023-09-11,825.0,302.155,1208.62,2021-07-28,2021-07,0.994688851287836,VIP
12438,1208.62,4,2021-06-08,2023-09-11,825.0,302.155,1208.62,2021-06-04,2021-06,0.994688851287836,VIP
12438,1208.62,4,2021-06-08,2023-09-11,825.0,302.155,1208.62,2022-10-19,2022-10,0.994688851287836,VIP
12438,1208.62,4,2021-06-08,2023-09-11,825.0,302.155,1208.62,2021-02-17,2021-02,0.994688851287836,VIP
12438,1208.62,4,2021-06-08,2023-09-11,825.0,302.155,1208.62,2023-01-13,2023-01,0.994688851287836,VIP
11133,1201.55,4,2022-03-10,2023-09-29,568.0,300.3875,1201.55,2022-08-17,2022-08,0.9941248354953939,VIP
11133,1201.55,4,2022-03-10,2023-09-29,568.0,300.3875,1201.55,2022-01-06,2022-01,0.9941248354953939,VIP
11133,1201.55,4,2022-03-10,2023-09-29,568.0,300.3875,1201.55,2022-12-08,2022-12,0.9941248354953939,VIP
11133,1201.55,4,2022-03-10,2023-09-29,568.0,300.3875,1201.55,2022-10-03,2022-10,0.9941248354953939,VIP
11133,1201.55,4,2022-03-10,2023-09-29,568.0,300.3875,1201.55,2022-12-20,2022-12,0.9941248354953939,VIP
11133,1201.55,4,2022-03-10,2023-09-29,568.0,300.3875,1201.55,2021-05-13,2021-05,0.9941248354953939,VIP
10906,1177.85,4,2022-03-22,2023-03-24,367.0,294.4625,1177.85,2021-09-30,2021-09,0.9935608197029517,VIP
10906,1177.85,4,2022-03-22,2023-03-24,367.0,294.4625,1177.85,2023-02-17,2023-02,0.9935608197029517,VIP
10906,1177.85,4,2022-03-22,2023-03-24,367.0,294.4625,1177.85,2021-08-07,2021-08,0.9935608197029517,VIP
